Material (as in the Geochronology table of the Neotoma database),Accuracy Rank,Notes
"Picea needles, 3 Rubus seeds",2,
"Picea needles, charcoal ",4,"weighted towards charcoal (between 2=needles, 5=charcoal)"
"Picea needles, charred twigs",2,
"Picea needles, wood",4,"weighted between needles (between needle=2, charcoal=5)"
"Picea needles,seed; Rubus seed",2,
"Picea seed wing, Picea seed, Larix needle, 3 charcoalized Picea needle fragments, charcoal",3,"weighted towards plant fragments (between 2=seed/needles, 5=charcoal)"
"Picea seed, 2 needle fragments, 2 charcoal particles, 2 seed wings",3,"weighted towards plant fragments (between 2=seed/needles, 5=charcoal)"
"Picea seed, Cyperaceae leaves",2,
"Picea seed, Drepanocladus",6,weighted between seed (2) and moss (6)
Picea seed; 2 needle fragments; 2 charcoal particles; 2 seed wings,3,"weighted towards needles/seeds (between 2=seed, 5=charcoal)"
Picea wood,5,
"Picea, Sparganium, Menyanthes",5,"no information on which part, Picea=5, Sparganium= aquatic plant = 6, and Menyanthes? (occurs in bogs and marshes)"
"Picea/Larix needles, charcoal",3,"weighted toward needles (between needle=2, charcoal=5)"
Picea/Pinus needles,2,
Piece of wood,5,
Pieces of wood,5,
Pine bark,3,
"pine ndls, birch seeds, wood",3,"weighted towards needles/seeds (between 2=seed, 5=wood)"
pine needles,2,
Pine stump,5,
Pinus contorta twigs and needles,2,
Pinus needle,2,
Pinus needles; unident. plant,3,
Pinus resinosa needle,2,
Pinus scales,2,
Pinus strobus needle frgs (6),2,
Pinus strobus wood,5,
Pinus sylvestris wood,5,
Pisidium sp.,6,
Pistia stratiotes seeds,2,
plant debris,3,
plant detritus,3,
PLANT DETRITUS,3,
Plant fragment,3,
plant fragment,3,
Plant fragments,3,
plant fragments,3,
Plant fragments and wood,4,between wood (5) and plant frags (3)
"Plant fragments, twig",3,
plant macrofossils,3,
plant matter,3,
plant remains,3,
Plant remains,3,
Plant remains (washed peat),5,
Plant remains in tephra VÜ~900,3,
Plant remains in tephra Vö~900,3,
Plant remains in tephra Vš~900,3,
plant stem (Scirpus?),2,
Plant tissue,3,
Plastic blue-grey clay,5,
Plastic clay with traces of organic matter and carbonate.,5,
Platygonus compressus bone,6,
Platygonus compressus bone collagen,5,
Poaceae;unidentified plant mat,3,
pollen,4,"rationale: not as good as macrofossils, better than wood"
Pollen,4,"rationale: not as good as macrofossils, better than wood"
pond mud,5,
Populus twig,2,
Populus wood,5,
Porous chalk,5,
Potamogeton seeds,2,
"Potamogeton,Ruppia,Carex seeds",2,
pottery,5,uncertain material; assigned 5 as default
Proboscidean bone,6,
Quercus charcoal,5,
Quercus wood,5,
Rangifer tarandus bone,6,
Reed swamp peat,5,
reptile bone,6,
reptile bone collagen,5,
residue,5,uncertain material; assigned 5 as default
residue (minus humates),5,uncertain material; assigned 5 as default
Rodentia bone,6,
Rodentia bone apatite/carbonate,6,
Rodentia bone collagen,5,
root and branch of shrubs,4,
Roots,3,
roots and shrub branches,4,
roots of tree Betula,3,
Rosa seed,2,
Ruppia seeds,2,
Salix (?) twig,2,
Salix and Dryas twigs/leaves,2,
Salix branches,4,
Salix bud scale;moss;unid seed,4,"weighted towards mosses (between 2=seed, 6=mosses)"
Salix herbacea leaves,2,
"Salix herbacea leaves, wood",4,"weighted towards wood (5), away from leaves (2)"
Salix remains,5,no information on which part
Salix undifferentiated wood,5,
Salix wood,5,
sand,5,
sand and clay,5,
sand and gravel,5,
Sand with clay,5,
"sand, low in organic matter",5,
Sands with organic fragments. Organic carbon: 2.08%; CaCO3: 0.22%.,5,
sandy calcareous gyttja,5,
sandy clay,5,
Sandy clay with organic matter as small black specks. Organic carbon: 1.66%; CaCO3: 0.90%.,5,
Sandy clay with organic specks. Organic carbon: 1.21%; CaCO3: 0.03%.,5,
sandy gyttja,5,
sandy olive-gray gyttja,5,
Sandy organic mud,5,
sandy peat,5,
Sandy peat,5,
sandy silt,5,
Sandy silt,5,
sandy silty clay,5,
"sandy, clay-marl",5,
Sapropel,5,
Sapropel mud,5,
Scenedesmus gyttja,5,
Schoenoplectus stem,2,
Scirpus achenes,2,
Scirpus seeds,2,
Sedge,2,
sedge,2,
sedge peat,5,
Sedge peat,5,
sedge peat (Carex),5,
Sedge peat with wood,5,
sedge peat with wood fragments,5,
Sedge-Sphagnum,5,
Sediment,5,
sediment,5,
sediment and clay (2nd core),5,
seed,2,
seed of Betula or Alnus,2,
"seed, moss stem",4,"weighted towards mosses (between 2=seed, 6=mosses)"
seeds,2,
Seeds,2,
"Seeds, bark",3,"weighted towards bark (between 2=seed, 3=bark)"
"Seeds, wood, insect elytra",3,"weighted towards seeds/insects (between 2=seed, 5=wood)"
Several pieces of picked wood,5,
shell,6,
shell organics,6,
shrub branch,4,
shrub fragments,4,
Shrub-sedge peat,5,
Sieved charcoal fragments,5,
Silt,5,
silt,5,
silt or clay,5,
Silt with fine detritus,5,
Silt with limey layers,5,
Silt with plant detritus,5,
Silt with roots,5,
silt with wood detritus,5,
Silt/Clay,5,
silty clay,5,
Silty clay,5,
silty clay with stones,5,
silty copropel,5,
Silty detritus,5,
silty fine sand,5,
Silty gyttja,5,
silty gyttja,5,
Silty gyttja/Clayey-gyttja,5,
silty mud,5,
Silty mud,5,
silty organic gyttja,5,
Silty organic lake sediment,5,
silty organic mud,5,
silty peat,5,
silty sand,5,
silty-sandy colluvium,5,
"silty, marly gyttja",5,
Single piece of picked wood,5,
"skin, intestines",2,
"skin, large intestines",2,
"skin, muscles, intestines",2,
Slightly calcareous lake sdmt.,5,
slightly sandy silty clay,5,
slightly silty clay,5,
Small conifer twigs,2,
Smilodon fatalis bone amino acid,5,
Smilodon floridanus bone apatite/carbonate,6,
Smilodon floridanus bone collagen,5,
soil,5,
soil (humic acids),5,
soil with wood,5,
"soil, wood",5,
Soluble humus fraction,5,
some peat in fine detritus mud,5,
speleothem,5,
Spermophilus bone collagen,5,
Sphagnum,5,
Sphagnum - Carex,5,
Sphagnum - Equisetum,5,
Sphagnum - Eriophorum,5,
Sphagnum + charcoal,5,
Sphagnum + Eriophorum,5,
Sphagnum + wood,5,
Sphagnum peat,5,
Sphagnum peat fine fraction,5,
Sphagnum-Carex peat,5,
Spilogale putorius,6,
Spruce needle,2,
"Spruce needle fragment, birch nutlet, + blackened organic fragments",3,"Penalized one rank for ""blackened organic fragments"""
Spruce needles and wood frags,4,"weighted towards wood (between 2=needle, 5=wood)"
Spruce twig,2,
Spruce wood,5,
spruce wood,5,
Stick,2,ranked same as twig
Stockoceros onusrosagris bone,6,
stone artifact,5,uncertain material; assigned 5 as default
Subfossil soil,5,
Symbos bone collagen,5,
Symbos cavifrons bone apatite/carbonate,6,
Symbos cavifrons bone collagen,5,
Synaptomys borealis bone collagen,5,
Tadarida brasiliensis dung,2,
Tapirus bone,6,
Taxidea taxus bone,6,
Taxodium leaflet,2,
Telmatic (marsh) peat,5,
terrestrial macrofossil,5,no information on which part
terrestrial macros,5,no information on which part
terrestrial moss,2,
terrestrial moss stems,2,
"terrestrial moss, leaves,stems",2,
"terrestrial moss,conifer leave",2,"between 2=leaf, 2=terrestrial mosses"
"terrestrial moss,wood, insects",3,"weighted towards mosses (2) and insects (2), away from wood (5)"
terrestrial plant remains,3,
tissue from skull of Gymnogyps californianus,2,
tissue of Gymnogyps californianus,2,
tooth enamel,5,
top of claygyttja,5,
Tourbe,5,
transitional,5,uncertain material; assigned 5 as default
Transitional gyttja,5,
"trash (wood, needles, moss)",5,"weighted towards wood/moss (needles=2, wood=5, moss=6)"
Tree,5,
Tree or shrub bark,3,
Tsuga mertensiana needles,2,
Tsuga needles (10),2,
Tsuga wood,5,
Tsuga/Pinus needles and bark,3,"Weighted towards bark (between 2=needles, 3=bark)"
tusk of Mammuthus primigenius,5,
twig,2,
Twig,2,
twig and charcoal fragment,4,"weighted towards charcoal (between 2=twig, 5=charcoal)"
twig and conifer needles,2,
twig and needle frgs spr twig,2,
twig fragment,2,
Twig fragments,2,
twig fragments,2,
"twig fragments, spruce needles",2,
"twig, Larix leaf",2,
"twig, leaf and spruce ndle fgs",2,
"twig, leaf fragments",2,
"twig, leaf, Lar and Pic frags",3,"weighted towards twig/leaf (between 2=twigs, 5=wood)"
"twig,leaves",2,
Twigs,2,
twigs,2,
twigs and bark,3,"Weighted towards bark (between 2=twigs, 3=bark)"
"twigs, leaves",2,
"twigs, seeds, and mosses",4,"weighted towards mosses (between 2=seed, 6=mosses)"
"twigs,leaves",2,
Ulmus wood,5,
Undecomposed peat,5,
Undifferentiated leaves,2,
unhumified sphagnum peat,5,
unhumified Sphagnum peat,5,
unid. terrest. plant remains,3,
unident. plant remains,3,
unident. semi-woody material,4,"weighted towards wood (between 3=plant matter/fragments/material/litter/detritus, 5=wood)"
unidentified plant fragments,3,
unidentified plant material,3,
unidentified plant remains,3,
Unknown,5,
unknown plant remains,3,
Upland wood,5,
Upper clay,5,
Ursidae bone,6,
Ursus americanus bone,6,
Ursus americanus bone collagen,5,
Ursus arctos bone,6,
Ursus arctos bone collagen,5,
very calcareous gyttja,5,
very humified fibrous peat,5,
volcanic ash,5,
Water soluble humus,5,
Water-soluble humus,5,
white pine needle,2,
whole peat,5,
Whole sample,5,material dated not specified
Whole sample - mean,5,material dated not specified
Whole sample (1),5,material dated not specified
Whole sample (2),5,material dated not specified
Wood,5,
wood,5,
WOOD,5,
wood (from alluvium),5,
Wood (oak),5,
Wood (Pinus sylvestris).,5,
wood (shrub),5,
wood and herb peat,5,
wood and leaf fragments,4,"weighted towards wood (between 2=leaf, 5=wood)"
wood and plant fragments,4,"weighted towards wood (between 3=plant matter/fragments/material, 5=wood)"
wood and spruce macrofossils,5,
Wood charcoal,5,
wood charcoal,5,
wood chips,5,
Wood fragment,5,
wood fragment,5,
wood fragment Abies sp.,5,
wood fragment Picea sp.,5,
"Wood fragment, seeds",4,"weighted towards wood (between 2=seed, 5=wood)"
wood fragment; charcoal,5,
wood fragments,5,
Wood fragments and Carex,5,
wood fragments and peat,5,
wood fragments Picea sp.,5,
wood fragments Salix sp.,5,
Wood frags,5,
Wood from peat.,5,
wood from tree Betula,5,
wood of Larix,5,
Wood peat,5,
Wood peat with many roots,5,
Wood stems,5,
Wood with bark,4,"weighted between wood=5, bark=3"
wood within basal peat,5,
wood within top peat,5,
"wood, charcoal",5,
"Wood, charred material",5,
"wood, conifer leaf",4,weighted towards wood (5)
"wood, conifer needle",4,"weighted towards wood (between 2=needle, 5=wood)"
"Wood, flower bract",4,"weighted towards wood (between 2=bract, 5=wood)"
"wood, insect parts",4,weighted towards wood (5)
"wood, large chunks of decayed wood, with some nut fragments",4,weighted towards wood (5)
"wood, leaf",4,"weighted towards wood (between 2=leaf, 5=wood)"
"wood, needles, and roots",3,"weighted towards needles/root (between 2=needle, 5=wood)"
"Wood, plant fragments",4,"weighted towards wood (between 3=plant matter/fragments/material, 5=wood)"
"wood, seed",4,"weighted towards wood (between 2=seed, 5=wood)"
"Wood, twigs",4,"weighted towards wood (between 2=twigs, 5=wood)"
Wood; leaf,4,"weighted towards wood (between 2=leaf, 5=wood)"
wood;insect parts;unid. plants,4,"weighted towards wood (between 3=plant matter/fragments/material, 5=wood)"
Wooded peat,5,
woody Carex peat,5,
woody detritus,4,"weighted towards wood (between 3=plant matter/fragments/material/litter/detritus, 5=wood)"
Woody fibrous peat,5,
woody fragments,5,
woody litter,4,"weighted towards wood (between 3=plant matter/fragments/material/litter/detritus, 5=wood)"
Woody long stem,5,
Woody peat,5,
woody peat,5,
woody plant detritus,4,"weighted towards wood (between 3=plant matter/fragments/material/litter/detritus, 5=wood)"
Woody sedge peat,5,
woody terrestrial material,4,"weighted towards wood (between 3=plant matter/fragments/material/litter/detritus, 5=wood)"
Woody twig,2,
woody twig,2,
woody twigs,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Arctodus simus bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Bison antiquus bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Bison bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Camelops bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Equus bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Mammut americanum bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Mammuthus bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Mammuthus columbi bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Mammuthus primigenius bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Nothrotheriops shshastensis bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Oreamnos harringtoni bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Ovis canadensis bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Rangifer tarandus bone,2,
XAD-resin-purified hydrolyzate from KOH-extracted gelatin from reptile bone,2,
Zea mays kernal charcoal,2,
<blank>,6,no information
