"handle","name","dataset_id","pol_age_min","pol_age_max","age_type","bacon","gc_age_min","gc_age_max","reason","new","amb_rise"
"BROWNSBY","Brown's Bay, Lake Minnetonka",314,-32,584,"Calendar years BP",FALSE,NA,NA,NA,FALSE,FALSE
"CAMP12LK","Camp 12 Lake",333,-33,177,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"DENTONLK","Denton Lake",681,-33,118,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"DISTER59","Disterhaft Farm Bog",700,699,13840,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"DUNNIGAN","Dunnigan Lake",774,-33,237,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"HUSTLER","Hustler Lake",1138,-33,180,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"IOLABOG","Iola Bog",1151,117,11676,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"MABEL","Lake Mabel",1685,-14,70,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"MCNRNY2A","McNearny Lake",1725,-23,241,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"MCNRNY3A","McNearny Lake",3485,-23,157,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"MCNRNY4A","McNearny Lake",3486,-27,340,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"NELSLK","Nels Lake",1793,-33,97,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"OTTOMLK","Otto Mielke Lake",1840,-32,286,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"THIRDLK","Third Lake",3784,150,9977,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"THRDBGN","Third Lake",3786,292,1600,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"RICEMNA","Rice Lake",2066,-14,6760,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"STONTAM1","Stone Lake Tamarack Swamp",2607,202,10761,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"STONTAM2","Stone Lake Tamarack Swamp",3780,150,346,"Radiocarbon years BP",FALSE,NA,NA,NA,FALSE,FALSE
"LASTLAKE","Last Lake",12004,-24,870,"Calendar years BP",FALSE,NA,NA,NA,FALSE,FALSE
"MNFRAL","Albert Lea Lake",12016,-27,209,"Calendar years BP",FALSE,NA,NA,NA,FALSE,FALSE
"ALMORA1","Almora Lake",30,3716,11290,"Radiocarbon years BP",FALSE,NA,NA,NA,TRUE,FALSE
"ANDREE","Andree Bog",204,8970,11333,"Radiocarbon years BP",FALSE,NA,NA,NA,TRUE,FALSE
"BLKHOOF","Blackhoof Site",282,9750,10795,"Radiocarbon years BP",FALSE,NA,NA,NA,TRUE,FALSE
"ERNSTPIT","Ernst Brother's Pit",806,7646,13409,"Radiocarbon years BP",FALSE,NA,NA,NA,TRUE,FALSE
"MNBELG","George Lake",15245,-10,275,"Calendar years BP",FALSE,NA,NA,NA,TRUE,FALSE
"JACOBSN1","Jacobson Lake",1163,6160,10800,"Radiocarbon years BP",FALSE,NA,NA,NA,TRUE,FALSE
"LAKEANNH","Lake Ann",3469,4846,13327,"Radiocarbon years BP",FALSE,NA,NA,NA,TRUE,FALSE
"WHITLILY","White Lily Lake",3841,8000,16150,"Radiocarbon years BP",FALSE,NA,NA,NA,TRUE,FALSE
"NORPOL","Norwood",19316,12483,15388,"Calibrated radiocarbon years BP",FALSE,NA,NA,NA,TRUE,FALSE
"MNBCSC","St. Clair Lake",15228,-18,126,"Calendar years BP",FALSE,NA,NA,NA,TRUE,FALSE
"MNCVTL","Tamarack Lake",15266,-27,111,"Calendar years BP",FALSE,NA,NA,NA,TRUE,FALSE
"ADVENTUR","Adventure Lake",15460,-54,100,"Calendar years BP",FALSE,NA,NA,NA,TRUE,FALSE
"BENACH","Benach Lake",15463,-54,100,"Calendar years BP",FALSE,NA,NA,NA,TRUE,FALSE
"BLUEJ","BlueJ Lake",15477,-55,100,"Calendar years BP",FALSE,NA,NA,NA,TRUE,FALSE
"BROZIE","Brozie Lake",15478,-51,100,"Calendar years BP",FALSE,NA,NA,NA,TRUE,FALSE
"CAMPTWO","Camp Two Lake",15479,-54,100,"Calendar years BP",FALSE,NA,NA,NA,TRUE,FALSE
"ITASCALC","Itasca Bison Kill Site",15985,3575,8664,"Calendar years BP",FALSE,NA,NA,NA,TRUE,FALSE
"ITASCAMC","Itasca Bison Kill Site",15992,7688,8899,"Calibrated radiocarbon years BP",FALSE,NA,NA,NA,TRUE,FALSE
"ITASCAMD","Itasca Bison Kill Site",15998,3147,7419,"Calibrated radiocarbon years BP",FALSE,NA,NA,NA,TRUE,FALSE
"ITASCAT2","Itasca Bison Kill Site",16002,5484,7033,"Calibrated radiocarbon years BP",FALSE,NA,NA,NA,TRUE,FALSE
"LKCLDSSW","Lake of the Clouds",3483,-20,960,"Varve years BP",NA,NA,NA,NA,FALSE,NA
"LAKEMINA","Lake Mina",14839,50,830,"Varve years BP",NA,NA,NA,NA,TRUE,NA
"ESOLDIER","East Soldier Lake",15309,10,9381,"Calibrated radiocarbon years BP",NA,NA,NA,NA,TRUE,NA
